address,balance
bc1qjg0qqay3a5wvwh4rlx7e456s0hpfdsy6uxgpsz,0.00110898
17W8M1Fa8EkCdb2tAZdM5J3gztJHFnBa55,0.128162
bc1qlxm6ef62evf8qezew3cpf6vse7jzqh2gh0vxt9,0.0006
3JkuPjagxGeMDDUtPMdMAc5nB2sHtUmdN1,0.0134569
34nc3hr6ErcMyTYgJDghatqsnLVDu5CZQA,45.3211
3FQdM5SXT1apYiVTMSYn1Rqq3cCrT71GnK,0.0417106
bc1qdle2swx87nysw9z3xj3tkkdzp6yx69tr4v66lf,0.0102512
1AJGKhM9KJhLJ5vtZVg4JrkPmkJKVFpY22,0.0192659
bc1qmmf35cztmlj3q092yyuxve4mjv4sgzr998jrjj,0.0028577
bc1qggfuxdfp22nd2yl7j9s0n7n42z24ef555qnnn7,0.00522253
bc1q5ydhp4psjpu7ds2m42k5dzg5q8fvqdgjltwzx5,0.00326562
1aJFuiDxknUDbNH5m9FFjKZuZN5rTpGpd,0.43061
bc1qlnkrx4plv5yqnw6geczxc0s5ftct5edfmz0m7n,0.00084975
bc1qnsupj8eqya02nm8v6tmk93zslu2e2z8chlmcej,142.263
34NrKxNkhwKnT62PcVTjPKsjBwyDmzoJsr,0.00685989
3K4KgY399cq64E1WoRsQBBSG4iUQVLi5UJ,0.00038
15bxCkf9ohrJKwFBVxbJV2RmABPLLhH7xg,0.0038929
bc1q0tx9jg3xn3suy2smadvnylmqmvukhpa2ec69dz,0.004603
bc1qt6vnav3rp27406tffa89juvhw3tqqlynf59krj,0.01363
bc1qjyq963g47wesd475klne8ez3y97tdw9a3xlkxw,0.00156
bc1qkrfd4es9am7fgxw5usd7h4d8vf286xjmp0v70v,0.0003127
1CngMchocN5ReuYbtFPE7SvQGtKTwBensR,0.0112771
34neYRnd7fXSjFpTVcLqDqMDfNmfxFmzxV,0.118062
bc1qegwl9rx2nfehv4g36c8yzkym8ue83fnavfzwwq,0.0372144
bc1qhchj4lz7n8vuwjup7n3q3hugqpd7mr9vupefkg,0.0106857
bc1qyzremh7nyh6jlsnpfff8ewuqcyznz6946vgg3s,0.00045
bc1qw3j2gfrqsmwjrz8zj56pjuv0knx7m6qwynexkn,0.00102317
bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,388.458
bc1q37hk98dt4zpuqnjtyx40ewrdzw2qmx575rhedf,0.00010086
bc1qq48mt6h3huuqk6hdu6esgzpg3c7nmsawhq0j4x,0.00691
bc1qn4s7jync8z7ctzdat8wsq0fs67cxyjcvtjndk3,0.0236088
1MyV5iCRqDEji9QdDYMmKp891mdeG9pE4B,0.0480856
bc1q8vht549ryq8dw45weyqaqgwuch7u4n4ne4lewr,0.00100707
33ZHWf6poSGPHFw7uc4pDeePGCw3dWCCi6,0.266758
bc1qmq88lx5wgv09dmazstjmef746h2nfx5g52s97v,0.0055
bc1q8nvq2xl2fprghrdqd6tfa8whff8p754qazudu7,0.0608893
18E7VZ3ZsqbrxhLR4psR1kTQbWmAc6tU4n,0.0647421
3264HqWQWD6VgYKgrVYrKda4YbRXTgzsKV,0.029573
bc1qezl6nv4hkpwh5dg40seg273arhalwpz2yg9nr9,0.435458
bc1qs069tmk228amyyatt7xe35ffawajv9fytfpvrj,20.4216
bc1qdlhrz3gnz8600ljh0jant4n37wd8dz49g73efs,0.271672
bc1q5dm69sfj50wnlu6cqhznjcgyq8jcmj8shuxfqw,0.000678
bc1qj49xvhdtt0m6e2j58dzj9dac83nxnejurfknpu,0.137151
1HN42KM3nLcbVbnXb4Jfiw47NPrgEea6DY,0.0145989
18v2sgoaU3EMtMdnPVTVaBuSXNcFULgnA1,0.116134
bc1q0twzt8u7nn2g8pzlrl4mnama7exrukaw8zcnh0,0.00013335
37YJ9Qsh22VshqetCpCHKPJx821Rib2PAK,0.00301757
bc1qyxznsu8xp8nv9jqccdk2hzmt4sqzez5w4z5e89,0.00707308
bc1qrldh482h79ssal49re89y06zu76h3zpzd0sxpt,0.00154641
34v3QHFd6u9wsTiTqhUz3nqemzAgxSN1RP,0.0764211
bc1q6whdtqqdpvg7v63mwu9s9gx60llpj390vcv4l0,0.0236645
bc1qfkynf9gtcpxm37j2xx7n3c3d4tnzwm8wlr4l93,0.00032982
bc1qjve084aptjn65df3dgd3chff7g5ec55mtakq4p,0.26
bc1qr9lyjuw78p4xhwedlgeknjr469q5lru34gp0wu,0.00128742
bc1p67yz8w28zkpjcul32r3mrrtzxcppdq5cl84ack28nv6pm59l4ngqzws0uk,0.00797
bc1qdh24khypj7h75elvtntuvyeetz2sypc9neft23,0.00127857
bc1qd4n5zasa7drmnuxgh57mvzlmk5kcqyt6qrrr4t,0.00026898
bc1pwlef006qqrszuusxjz829cghsvj5556k44v4ryxv3w4mew9ezlyq05z4sr,0.0113367
bc1qx343za4ssgc6a960pujzvx58p54phjqr37f89n,0.00037989
bc1q0ltsq3897j65s85lmeg04hhrqjhpp2d8y0hwvk,0.00557
1889GPmZaruMx5dvvFGTD7saos9cX78gsC,0.208441
bc1qcq2uv5nk6hec6kvag3wyevp6574qmsm9scjxc2,89.9821
bc1qhmqql9ejpflqw9rd8cq0juc49gkjut83xpazfv,0.00172822
bc1qn3pe86ppava7uygfuq0cht52cajw866fgf6zxm,0.00368095
bc1qekpr0nd7ykh5zj92xnfkc7nxh0vgx9f062060l,0.0788853
bc1px2s0epkg2t2qd88x2nvzy39r4n4nnhgpgd4dq7sl2w54r9ev5lwqmcs9fu,0.00021365
bc1ql4k8nv64y00xsjmsa7xymkp0uxflhms6menj9h,0.00520175
3GkJ97uTnhkUGojKgBUMEVKMCz2KumHyDL,0.358274
bc1qrqfsqtfnczwnac2pq36pt842k2fe5sx492mh2a,0.00024307
bc1qtez52kt2ynqahngfshgtldcrd8f0nvelxvknpt,0.00239982
1Au2eRqj9b5wQgTJwfDPhvQzvVrStW6Amd,0.118771
3CmGDcHUHbCVzGWtXTyRLkNGN5Meotybkt,0.632904
bc1qga9lnlkqyhh8hhq0ttv05wesc588qfp8946lc8,0.00828047
18PZanYL6WJp1TcUGURXipMw5DMDaTGPkJ,0.00410697
bc1qycclu0q8rhtv8dzqmca4zdtfqgjpjc9yav4apl,0.00054626
bc1py5u9jzf25k0kczsrj07guz9n0xkdfzrlcymuaau8chrhd379mvvsa5u5am,0.00021228
bc1qtn6tvy3dwe33pwfpvl9hx52m02tksx5rt4r6z5,0.00142829
bc1pzxhmez8pgha8tc8ng6v3m4af2kh08e2swz6n7kvxmaj2q2udkezsqdmmnp,0.00030396
bc1qxxct5w7823j24hw6q8d9e9kz3u8wgdqpm5fg2d,0.0477307
bc1q6npss5a7jdx2q0j9t6zzxfz7q4yjw7g2j6lkyj,0.00459812
1BZqMkQozmN3gWGMYtbbtaHcPLzguBXgPh,0.00759603
1692rwJRqp77xSwGyma41d9tJRzuSDAyid,0.63744
bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2,1425.67
bc1qgsnea6l925yrh32l9ucxj7vj8yxm3hkue9jfdj,0.00069744
3E8EpXmEw6jNafBK7qRhAzRS6FFf9ZUpAi,0.00480544
bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d,6094.49
bc1q8f5c9xz4wgpq5f0wxh97ses0dlgm7zj3gm3he9,0.00600005
3F9omNqQmYQXfTkHkJnwMiFWQfYWHMD4g6,0.0549282
1A3i6RyKMWw1tSDH4xB6vBovhZRrVzrVmt,0.0619278
1FWQiwK27EnGXb6BiBMRLJvunJQZZPMcGd,704.036
bc1q8dheuhpvy8tc3r5hye778ejg7zw3036vh7ryha,0.130324
158UVwZo7eB6LF2btv3DbUr84uqWHerRyt,0.0226894
bc1qfl4v9f8tk9ml07h72c78wjgdwuaah94qm56l4q,0.0574007
bc1qg9sz72jg3mptpmmqavjmqwq4dm3j5txpk0w0fu,0.0674824
bc1qt0a0vc0m5jkex5mkfl7h6shx2n4u7qnag5w9az,0.288972
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248598
bc1qkkeqdjkn593qevkxl4au0zmpqp5j0gxmur9stn,1.28794
1EGC1h466xjQcV3bu8LmcEpvie2i3tdYmF,0.0362457
bc1pt05enkrmemg47k5x7uvwmddst85gxrkq5krw3vqvnq5d3e8fevaqlprnlf,0.00020395
bc1qgzrva028eym96uax90j28qj3aqhh3dy8gk6qvp,3.76786
bc1p098p8kn9g6m8xjpj4uqwlyuky9ypgduw4z7qpzgpju5perxe0zuqghjyvw,0.411205
bc1qtwhee4qjnuy32q25fqkzqv56fajcrfrnjy0zhf,0.00300217
bc1qsk2q2cf50xkjl6fq253a05u9yu8k58k7cgc574,0.00066954
bc1qwg0pm9pee952ppv0qkc6ts4gemms7a67r6z7qa,0.0246378
bc1qsmfjpy36tz7aawqmfr8jud3rsk00q49fx8vkrunjmuhhrld99ndscg7vwj,0.0134489
bc1qs6l5e8r6qt2jfpm2ph28tdfk4gjg8sgwmcur80,0.00724123
bc1qsuahtx44rt5j26sa3437r6gxj3jxs78x4x2w90,0.00012304
bc1qu7lhrea3zjacvy8e083ggq69zpshqqvn3250kz,0.00025497
bc1qlyupxc8zjvyzyvcznafd6h68us3z768dzuph5w,0.00273484
1Dbo91CDv5WhmbwxmyjSzm2LfinFggteCS,0.0542908
